LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error
2019-05-09 18:28:55,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:55,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:56,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:57,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
2019-05-09 18:28:58,1900-01-00 00:00:00,WiFi-SCHIFFO-2.4G,50:5D:AC:89:D4:3C,-29,WPA2,0.000000,0.000000,0.000,0.000
